pk_pathogen_id,fk_higher_taxa_id,fk_pathogen_id_accepted,fk_anamorph_id,virus_MPLO_names,pathogen_genus,pathogen_species,pathogen_subspecific_taxa,pathogen_author,fungal_state,english_name,english_disease_names,french_ name,french_disease_names,pathogen_notes,verify,qd,change_to,full_pathogen,dup_id
25491,288,,,,Septoria,secalis,var. stipae,Sprague,unknown,,,,,,TRUE,,,Septoriasecalisvar. stipaeSprague,
25493,299,,,,Urocystis,fraseri,,,unknown,,,,,,TRUE,,,Urocystisfraseri,
25506,231,,,,Sclerotium,baccarum,,,unknown,,,,,,TRUE,,,Sclerotiumbaccarum,
25507,1,,,,Tuburcinia,clintoniae,,,unknown,,,,,,TRUE,,,Tuburciniaclintoniae,
25512,182,,,,Puccinia,swertiae,,,unknown,,,,,,TRUE,,,Pucciniaswertiae,
25514,1,,,,Anthostoma,melanotes,var. symphoricarpi,Brenkle,unknown,,,,,,TRUE,,,Anthostomamelanotesvar. symphoricarpiBrenkle,
25516,288,93702,,,Cercospora,symphoricarpi,,,unknown,,,,,,TRUE,,,Cercosporasymphoricarpi,
25521,315,,,,Cytospora,symphoricarpi,,,unknown,,,,,,TRUE,,,Cytosporasymphoricarpi,
25522,1,93506,,,Didymosphaeria,decolorans,,,unknown,,,,,,TRUE,,,Didymosphaeriadecolorans,
25523,304,,,,Dothichiza,symphoricarpi,,,unknown,,,,,,TRUE,,,Dothichizasymphoricarpi,
25525,1,93520,,,Gibbera,andersonii,,,unknown,,,,,,TRUE,,,Gibberaandersonii,
25526,1,,,,Griphosphaerioma,kansensis,,,unknown,,,,,,TRUE,,,Griphosphaeriomakansensis,
25528,1,,,,Haplosporella,symphoricarpi,,,unknown,,,,,,TRUE,,,Haplosporellasymphoricarpi,
25530,1,,200,,Labridella,cornu-cervae,,Brenckle,Anamorph,,,,,,TRUE,,,Labridellacornu-cervaeBrenckle,
25531,1,,,,Lophidium,,,,unknown,,,,,,TRUE,,,Lophidium,
25532,1,,,,Lophiostoma,praemorsum,,,unknown,,,,,,TRUE,,,Lophiostomapraemorsum,
25534,1,,,,Metasphaeria,,,,unknown,,,,,,TRUE,,,Metasphaeria,
25542,1,,,,Mollisia,caesia,,,unknown,,,,,,TRUE,,,Mollisiacaesia,
25546,1,,,,Phyllosticta,symphoricarpi,,,unknown,,,,,,TRUE,,,Phyllostictasymphoricarpi,
25555,182,,,,Puccinia,symphoricarpi,,Harkn.,unknown,,,,,,TRUE,,,PucciniasymphoricarpiHarkn.,
25561,1,,,,Rhabdospora,,,,unknown,,,,,,TRUE,,,Rhabdospora,
25562,1,62233,,,Rhizogene,symphoricarpi,,,unknown,,,,,,TRUE,,,Rhizogenesymphoricarpi,
25564,1,,,,Schizoxylon,decipiens,var. symphoricarpi,Rehm,unknown,,,,,,TRUE,,,Schizoxylondecipiensvar. symphoricarpiRehm,
25565,288,,,,Septoria,symphoricarpi,,,unknown,,,,,,TRUE,,,Septoriasymphoricarpi,
25571,353,,,,Sphaceloma,symphoricarpi,,Barrus & Horsfall,unknown,,,,,,TRUE,,,SphacelomasymphoricarpiBarrus & Horsfall,
25574,315,2589,,,Valsa,symphoricarpi,,,unknown,,,,,,TRUE,,,Valsasymphoricarpi,
25576,305,,,,Ascochyta,syringae,,Bres.,unknown,,,,,,TRUE,,,AscochytasyringaeBres.,
25584,1,,,,Macrophoma,halstedii,,,unknown,,,,,,TRUE,,,Macrophomahalstedii,
25589,1,25589,,,Phyllosticta,syringae,,,unknown,,,,,,TRUE,,,Phyllostictasyringae,
25593,1,,,,Phyllosticta,syringella,,,unknown,,,,,,TRUE,QD,,Phyllostictasyringella,
25594,283,,,,Phytophthora,syringae,,(Kleb.) Kleb.,unknown,,,,,,TRUE,,,Phytophthorasyringae(Kleb.) Kleb.,
25613,289,,,,Sphaeropsis,syringae,,,unknown,,,,,,TRUE,,,Sphaeropsissyringae,
25614,181,,,Lilac Ringspot Virus,,,,,unknown,,,,,,TRUE,QD,,,
25644,275,,,,Coniothyrium,tamaricis,,,unknown,,,,,,TRUE,QD,,Coniothyriumtamaricis,
25646,1,,,,Camarosporium,tanaceti,,Oudem.,unknown,,,,,,TRUE,,,CamarosporiumtanacetiOudem.,
25647,275,,,,Leptosphaeria,dolioloides,,,unknown,,,,,,TRUE,,,Leptosphaeriadolioloides,
25650,288,,,,Ramularia,tanaceti,,,Anamorph,,,,,,TRUE,,,Ramulariatanaceti,
25653,305,93420,,,Ascochyta,taraxaci,,,unknown,,,,,,TRUE,,,Ascochytataraxaci,
25689,305,,,,Phoma,cichoracearum,,,unknown,,,,,,TRUE,,,Phomacichoracearum,
25722,182,,,,Puccinia,variabilis,,Greville,unknown,,,,,,TRUE,,,PucciniavariabilisGreville,
25730,288,,,,Ramularia,taraxaci,,P. Karst.,Anamorph,,,,,,TRUE,,,RamulariataraxaciP. Karst.,
25757,2,93924,,,Xanthomonas,taraxaci,,,unknown,,,,,,TRUE,QD,,Xanthomonastaraxaci,
25763,1,,,,Lepidoderma,carestianum,,,unknown,,,,,,TRUE,,,Lepidodermacarestianum,
25765,1,,,,Phacidium,taxicola,,,unknown,,,,,,TRUE,,,Phacidiumtaxicola,
25769,288,62306,,,Sphaerulina,taxicola,,(Pk.) Berlese,unknown,,,,,,TRUE,,,Sphaerulinataxicola(Pk.) Berlese,
25778,1,,,,Aecidium,thalictri,,,unknown,,,,,,TRUE,,,Aecidiumthalictri,
25780,1,,,,Cylindrosporium,thalictri,,,unknown,,,,,,TRUE,,,Cylindrosporiumthalictri,
25781,1,,,,Didymosphaeria,thalictri,,Ell. & Dearn.,unknown,,,,,,TRUE,,,DidymosphaeriathalictriEll. & Dearn.,
25782,1,,,,Dimerina,,,,unknown,,,,,,TRUE,,,Dimerina,
25783,1,,,,Entyloma,thalictri,,,unknown,,,,,,TRUE,,,Entylomathalictri,
25793,275,,,,Leptosphaeria,thalictri,,,unknown,,,,,,TRUE,,,Leptosphaeriathalictri,
25794,1,,,,Massaria,thalictri,,,unknown,,,,,,TRUE,,,Massariathalictri,
25798,288,,,,Mycosphaerella,thalictri,,,unknown,,,,,,TRUE,,,Mycosphaerellathalictri,
25800,283,93745,,,Phytophthora,thalictri,,,unknown,,,,,,TRUE,,,Phytophthorathalictri,
25825,1,,,,Rhabdospora,rugica,,,unknown,,,,,,TRUE,,,Rhabdosporarugica,
25827,288,,,,Septoria,thalictri,,,unknown,,,,,,TRUE,,,Septoriathalictri,
25828,1,,,,Tranzschelia,thalictri,,(Chev.) Dietel,unknown,,,,,,TRUE,,,Tranzscheliathalictri(Chev.) Dietel,
25839,288,71016,,,Cercospora,thermopsidis,,,unknown,,,,,,TRUE,,,Cercosporathermopsidis,
25841,1,,,,Endodothella,,,,unknown,,,,,,TRUE,QD,,Endodothella,
25842,305,,,,Phoma,thermopsidicola,,,unknown,,,,,,TRUE,,,Phomathermopsidicola,
25855,1,,,,Aleurodiscus,tsugae,,,unknown,,,,,,TRUE,,,Aleurodiscustsugae,
25856,1,,,,Anthostomella,pholidigena,,,unknown,,,,,,TRUE,QD,,Anthostomellapholidigena,
25861,1,,,,Asterostroma,andinum,,,unknown,,,,,,TRUE,,,Asterostromaandinum,
25864,1,,,,Collybia,acervata,,,unknown,,,,,,TRUE,,,Collybiaacervata,
25877,1,62402,,,Corticium,amylaceum,,,unknown,,,,,,TRUE,,,Corticiumamylaceum,
25904,1,,,,Didymascella,thujina,,(Durand) Maire,unknown,,,,,,TRUE,,,Didymascellathujina(Durand) Maire,
25913,1,,,,Discina,ancilis,,,unknown,,,,,,TRUE,,,Discinaancilis,
25914,1,58132,,,Flammula,decorata,,,unknown,,,,,,TRUE,,,Flammuladecorata,
25916,1,62517,,,Flammula,liquiritae,,,unknown,,,,,,TRUE,,,Flammulaliquiritae,
25935,1,74237,,,Harknessia,foeda,,,unknown,,,,,,TRUE,,,Harknessiafoeda,
25942,1,62442,,,Kriegeria,enterochroma,,,unknown,,,,,,TRUE,,,Kriegeriaenterochroma,
25948,1,43420,,,Lophiostoma,thujae,,,unknown,,,,,,TRUE,,,Lophiostomathujae,
25949,1,,,,Lophodermium,thujae,,,unknown,,,,,,TRUE,,,Lophodermiumthujae,
25951,1,,,,Marasmius,scorodonius,,,unknown,,,,,,TRUE,,,Marasmiusscorodonius,
25955,1,,,,Mitrula,phalloides,,,unknown,,,,,,TRUE,,,Mitrulaphalloides,
25956,254,,,,Mycena,griseoconica,,,unknown,,,,,,TRUE,,,Mycenagriseoconica,
